,,Revenue Growth Rate = Last 3 years,,,Pre-tax Operating Margin,,,Sales to Invested Capital,,,Cost of Capital,,,Beta,Debt to Capital Ratio,,,,
Industry Group,count,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,median(Beta),First Quartlie,Median,Third Quartile,,
Oilfield Svcs/Equip.,444,2.54%,15.60%,27.40%,-0.22%,4.24%,10.29%,0.74,1.71,3.45,7.53%,8.15%,9.46%,0.45,0.97,1.46,5.18%,23.35%,50.15%
Packaging & Container,164,3.42%,7.75%,14.10%,3.03%,6.74%,11.52%,1.01,1.40,1.91,7.08%,7.48%,8.70%,0.38,0.76,1.29,6.27%,21.71%,45.21%
Paper/Forest Products,266,3.38%,9.86%,18.60%,-1.26%,3.80%,10.82%,0.58,1.01,1.61,7.17%,7.68%,9.06%,0.41,0.83,1.33,9.43%,27.33%,50.64%
Power,488,6.54%,12.70%,20.70%,4.39%,10.19%,20.62%,0.40,0.70,1.30,6.08%,6.48%,7.58%,0.33,0.65,1.06,11.64%,38.68%,58.84%
Precious Metals,853,0.29%,11.10%,28.90%,-380.00%,-0.38%,16.23%,0.00,0.00,0.25,8.62%,8.64%,8.64%,0.58,1.04,1.55,0.00%,0.45%,8.72%
Publishing & Newspapers,205,-1.31%,4.47%,10.90%,-3.22%,4.61%,10.58%,0.71,1.44,2.88,8.96%,9.39%,11.17%,0.43,0.91,1.43,0.42%,5.97%,31.25%
R.E.I.T.,633,1.14%,6.98%,17.40%,18.51%,49.89%,66.00%,0.06,0.08,0.12,5.95%,6.32%,7.36%,0.42,0.79,1.15,23.55%,41.43%,59.59%
Real Estate (Development),884,-10.90%,4.76%,23.90%,-7.30%,8.89%,20.43%,0.10,0.24,0.52,6.34%,6.95%,7.42%,0.43,0.93,1.42,8.52%,41.00%,72.41%
Real Estate (General/Diversified),336,-6.02%,7.10%,20.70%,0.54%,13.97%,31.26%,0.08,0.18,0.45,6.50%,6.85%,7.97%,0.43,0.91,1.35,9.80%,42.45%,63.53%
Real Estate (Operations & Services),748,-0.89%,8.56%,21.70%,3.92%,24.89%,55.89%,0.06,0.11,0.40,6.37%,6.90%,7.60%,0.24,0.75,1.39,1.70%,32.31%,58.60%
